scope,path,bytes,sha256
C:/WashiOS-extension-backup/primary_20260830_seed20260830_b5,amended_execution_plan.csv,1494,3556D9902DD28DCA8FB86D504AFD5FF3A6C49CC01C49AB6B4FF476E92AFCF0CF
C:/WashiOS-extension-backup/primary_20260830_seed20260830_b5,backup_record.json,233,3E633E91941F0604C1211E0D1CDA0EB9C1130340FFBC5085DA7610DF58E1DF88
C:/WashiOS-extension-backup/primary_20260830_seed20260830_b5,bad_crc_results.json,7957,F6332F913FFA91432032AA1E5582AE78378F8880FC22D11B921C5B793ADC4E90
C:/WashiOS-extension-backup/primary_20260830_seed20260830_b5,campaign_results.json,6861,99D2EC264CC60D28155A73168CEF208FE7AF857D20EF7C689F7D7442E86BF8DD
C:/WashiOS-extension-backup/primary_20260830_seed20260830_b5,configuration.json,250,75162001649DA1E164ECDEE7E539108E02DB2F2EFE74FE7A414B5D53F36353F2
C:/WashiOS-extension-backup/primary_20260830_seed20260830_b5,continuation_manifest.json,1501,1ED0C19F8A7FF0A336F8D03F94E1D14D7654F4AC40487AC806CC6130948EC23B
C:/WashiOS-extension-backup/primary_20260830_seed20260830_b5,continuation_results.json,98670,9CA3337917A910E73C3DD4263E61C6D7E7338DFD4CA409A7CC7A954C309324C3
C:/WashiOS-extension-backup/primary_20260830_seed20260830_b5,descriptive_summary.json,11906,C8B14F8FC9A05BF727CC1666D3115282EFD1CFD89AF9D32BE066C25D9A554551
C:/WashiOS-extension-backup/primary_20260830_seed20260830_b5,EXTENSION_SHA256SUMS.csv,15388,8B4CB2AB87CD317905AA4A219B81E99E2E459DC3EEF386D14286297476177C0B
C:/WashiOS-extension-backup/primary_20260830_seed20260830_b5,extension_source_state.json,1015,A1B3FF2486C1E7C08E768D8437D2A5C10B25866D6775BECE3059C41CE53B265F
C:/WashiOS-extension-backup/primary_20260830_seed20260830_b5,FINAL_MANIFEST.json,3151,D8424545495CCF2EBA2BF87BE5B68CDA79D3AA41239217140F54D20BD0DCE91E
C:/WashiOS-extension-backup/primary_20260830_seed20260830_b5,final_results_ledger.csv,4650,FAD4DBAE0323F358A5C893377904CD2F88F9E9F2CA18FDED48DD594A8E966E46
C:/WashiOS-extension-backup/primary_20260830_seed20260830_b5,final_validation.json,1701,1AE639C16552707CF0D56DAFE8E690F8242C304007F08C0C7E1EC16E0AE17601
C:/WashiOS-extension-backup/primary_20260830_seed20260830_b5,firmware/g431_extension_application.bin,20256,6515796C07D37C19E21B0104B477EA4C6451B66A995EBEF6510725764441E727
C:/WashiOS-extension-backup/primary_20260830_seed20260830_b5,firmware/g431_extension_bootloader.bin,4032,FE591BF7292AD0D40F8FEE4AF5779118AE0D0083FF362F5BE9CCB156ADFE619E
C:/WashiOS-extension-backup/primary_20260830_seed20260830_b5,firmware/g474_extension_firmware.bin,8944,5581492429080BD58177A37733981ABA12DA6074BA40EAC0157B86E027B479E7
C:/WashiOS-extension-backup/primary_20260830_seed20260830_b5,manifest.json,5059,F6F48D46994E3DDE8386ECC2C508AA7553BF4A0503EC7D99F0FB0052388E3332
C:/WashiOS-extension-backup/primary_20260830_seed20260830_b5,nominal_validation_002.json,31245,3119D5994378E00C7ACE945B0FCB96CBA28C5855CDFEA445CD26570FD52A74FD
C:/WashiOS-extension-backup/primary_20260830_seed20260830_b5,PARTIAL_SHA256SUMS.csv,3880,F3DEC9EEED1D7C49942AA52A3722F7D571FBFAA0D98BEAC48F13B24C4BDF5C0C
C:/WashiOS-extension-backup/primary_20260830_seed20260830_b5,payload_recovery_validation.json,2553,4D1CE606EC6D2D21AD71DEEF57D4EB605C18682CFF4DD678E82D100586D14A5C
C:/WashiOS-extension-backup/primary_20260830_seed20260830_b5,plan_amendment.json,2395,5B582DEAEC41AA88F0645EE78E0E305A2DED9ED6F22AC833A8CDDBB2DA1305AD
C:/WashiOS-extension-backup/primary_20260830_seed20260830_b5,preflight_validation.json,1752,210ABA61561C0097D516AC9E8EF4A89719B159FF03311A1CC5B1BB1D3682EE63
C:/WashiOS-extension-backup/primary_20260830_seed20260830_b5,preflight_validation_post_nominal_serial_reopen.json,1772,18BD858A56363B26CA6F3A65FD5CF56AD28A6BDAAB31A3215621D83416C06DDD
C:/WashiOS-extension-backup/primary_20260830_seed20260830_b5,raw/bad_crc/SHORT/g431.log,7888,00F2130F3A784189D4A7718F46221B537C413FD20D81712F862DCE50361F4AF8
C:/WashiOS-extension-backup/primary_20260830_seed20260830_b5,raw/bad_crc/SHORT/g474.log,427,A2B9EBD61D16B2324864D9824DF08F8F51C85B5EBF1660AEC7790FE3F5BDAE1F
C:/WashiOS-extension-backup/primary_20260830_seed20260830_b5,raw/bad_crc/SUSTAINED/g431.log,8229,F64E5F72B4E89F626F7FCC6B90885FF789B8B712498FDB34B2DC9EC5C37EDD68
C:/WashiOS-extension-backup/primary_20260830_seed20260830_b5,raw/bad_crc/SUSTAINED/g474.log,427,9C4D37F649FFC20AA8A4C7B9FCC682CCB482AE0BB772267E2C026F3FE15BC5F4
C:/WashiOS-extension-backup/primary_20260830_seed20260830_b5,raw/campaign/R001_B1_D110/g431.log,6949,08185CD8D0C2782E00F2D899B27AA846CE066BA5BBA0080193914062E72A9CB1
C:/WashiOS-extension-backup/primary_20260830_seed20260830_b5,raw/campaign/R001_B1_D110/g474.log,466,0BD7E3756A94726BE27858F91F98FE7CA412814F32B7CF4B0CD50D7FC8F96324
C:/WashiOS-extension-backup/primary_20260830_seed20260830_b5,raw/campaign/R002_B1_D500/g431.log,5047,08022AE828B5AF1715BF9991FBCF8DF2B9D399263B90B64F131F2720D732EDF3
C:/WashiOS-extension-backup/primary_20260830_seed20260830_b5,raw/campaign/R002_B1_D500/g474.log,254,3062DA9486CE630E4821D075464766DFDFE863576288C3C4469F7F6A1F7E130D
C:/WashiOS-extension-backup/primary_20260830_seed20260830_b5,raw/campaign/R003_B1_D150/g431.log,7317,FFF599F39A432FA59CBD301129140E7941DECA96197740363BB27B0246640820
C:/WashiOS-extension-backup/primary_20260830_seed20260830_b5,raw/campaign/R003_B1_D150/g474.log,466,872BB2B3FDD3D89003E8611CBC079EADD77CE29C526C00F24D64B0E63FB75DA0
