run_id,order_index,block,condition,delay_ms,observation_s,disposition
R001_B1_D110,1,1,DELAY,110,4.0,COMPLETED_VALID_CARRY_FORWARD
R002_B1_D500,2,1,DELAY,500,4.0,RETAINED_INVALID_NO_RETRY
R003_B1_D150,3,1,DELAY,150,4.0,PLANNED_CONTINUATION
R004_B1_NC,4,1,NC,,4.0,PLANNED_CONTINUATION
R005_B1_D050,5,1,DELAY,50,4.0,PLANNED_CONTINUATION
R006_B1_D090,6,1,DELAY,90,4.0,PLANNED_CONTINUATION
R007_B1_D250,7,1,DELAY,250,4.0,PLANNED_CONTINUATION
R008_B1_D100,8,1,DELAY,100,4.0,PLANNED_CONTINUATION
R009_B1_NC,9,1,NC,,4.0,PLANNED_CONTINUATION
R010_B2_D100,10,2,DELAY,100,4.0,PLANNED_CONTINUATION
R011_B2_D500,11,2,DELAY,500,4.0,REMOVED_SCOPE_500_UNSTARTED
R012_B2_D050,12,2,DELAY,50,4.0,PLANNED_CONTINUATION
R013_B2_NC,13,2,NC,,4.0,PLANNED_CONTINUATION
R014_B2_D090,14,2,DELAY,90,4.0,PLANNED_CONTINUATION
R015_B2_D150,15,2,DELAY,150,4.0,PLANNED_CONTINUATION
R016_B2_D110,16,2,DELAY,110,4.0,PLANNED_CONTINUATION
R017_B2_D250,17,2,DELAY,250,4.0,PLANNED_CONTINUATION
R018_B2_NC,18,2,NC,,4.0,PLANNED_CONTINUATION
R019_B3_D250,19,3,DELAY,250,4.0,PLANNED_CONTINUATION
R020_B3_D050,20,3,DELAY,50,4.0,PLANNED_CONTINUATION
R021_B3_D500,21,3,DELAY,500,4.0,REMOVED_SCOPE_500_UNSTARTED
R022_B3_NC,22,3,NC,,4.0,PLANNED_CONTINUATION
R023_B3_D110,23,3,DELAY,110,4.0,PLANNED_CONTINUATION
R024_B3_D150,24,3,DELAY,150,4.0,PLANNED_CONTINUATION
R025_B3_D090,25,3,DELAY,90,4.0,PLANNED_CONTINUATION
R026_B3_D100,26,3,DELAY,100,4.0,PLANNED_CONTINUATION
R027_B3_NC,27,3,NC,,4.0,PLANNED_CONTINUATION
