run_id,order_index,block,condition,delay_ms,observation_s,final_disposition,attempted,valid,invalid_reason,g431_raw,g474_raw
R001_B1_D110,1,1,DELAY,110,4.0,ATTEMPTED_VALID,True,True,,raw/campaign/R001_B1_D110/g431.log,raw/campaign/R001_B1_D110/g474.log
R002_B1_D500,2,1,DELAY,500,4.0,ATTEMPTED_INVALID,True,False,NORMAL_RESTORE_NOT_CONFIRMED,raw/campaign/R002_B1_D500/g431.log,raw/campaign/R002_B1_D500/g474.log
R003_B1_D150,3,1,DELAY,150,4.0,ATTEMPTED_VALID,True,True,,raw/campaign/R003_B1_D150/g431.log,raw/campaign/R003_B1_D150/g474.log
R004_B1_NC,4,1,NC,,4.0,ATTEMPTED_VALID,True,True,,raw/campaign/R004_B1_NC/g431.log,raw/campaign/R004_B1_NC/g474.log
R005_B1_D050,5,1,DELAY,50,4.0,ATTEMPTED_VALID,True,True,,raw/campaign/R005_B1_D050/g431.log,raw/campaign/R005_B1_D050/g474.log
R006_B1_D090,6,1,DELAY,90,4.0,ATTEMPTED_VALID,True,True,,raw/campaign/R006_B1_D090/g431.log,raw/campaign/R006_B1_D090/g474.log
R007_B1_D250,7,1,DELAY,250,4.0,ATTEMPTED_VALID,True,True,,raw/campaign/R007_B1_D250/g431.log,raw/campaign/R007_B1_D250/g474.log
R008_B1_D100,8,1,DELAY,100,4.0,ATTEMPTED_VALID,True,True,,raw/campaign/R008_B1_D100/g431.log,raw/campaign/R008_B1_D100/g474.log
R009_B1_NC,9,1,NC,,4.0,ATTEMPTED_VALID,True,True,,raw/campaign/R009_B1_NC/g431.log,raw/campaign/R009_B1_NC/g474.log
R010_B2_D100,10,2,DELAY,100,4.0,ATTEMPTED_VALID,True,True,,raw/campaign/R010_B2_D100/g431.log,raw/campaign/R010_B2_D100/g474.log
R011_B2_D500,11,2,DELAY,500,4.0,REMOVED_SCOPE_500_UNSTARTED,False,,,,
R012_B2_D050,12,2,DELAY,50,4.0,ATTEMPTED_VALID,True,True,,raw/campaign/R012_B2_D050/g431.log,raw/campaign/R012_B2_D050/g474.log
R013_B2_NC,13,2,NC,,4.0,ATTEMPTED_VALID,True,True,,raw/campaign/R013_B2_NC/g431.log,raw/campaign/R013_B2_NC/g474.log
R014_B2_D090,14,2,DELAY,90,4.0,ATTEMPTED_VALID,True,True,,raw/campaign/R014_B2_D090/g431.log,raw/campaign/R014_B2_D090/g474.log
R015_B2_D150,15,2,DELAY,150,4.0,ATTEMPTED_VALID,True,True,,raw/campaign/R015_B2_D150/g431.log,raw/campaign/R015_B2_D150/g474.log
R016_B2_D110,16,2,DELAY,110,4.0,ATTEMPTED_VALID,True,True,,raw/campaign/R016_B2_D110/g431.log,raw/campaign/R016_B2_D110/g474.log
R017_B2_D250,17,2,DELAY,250,4.0,ATTEMPTED_VALID,True,True,,raw/campaign/R017_B2_D250/g431.log,raw/campaign/R017_B2_D250/g474.log
R018_B2_NC,18,2,NC,,4.0,ATTEMPTED_VALID,True,True,,raw/campaign/R018_B2_NC/g431.log,raw/campaign/R018_B2_NC/g474.log
R019_B3_D250,19,3,DELAY,250,4.0,ATTEMPTED_VALID,True,True,,raw/campaign/R019_B3_D250/g431.log,raw/campaign/R019_B3_D250/g474.log
R020_B3_D050,20,3,DELAY,50,4.0,ATTEMPTED_VALID,True,True,,raw/campaign/R020_B3_D050/g431.log,raw/campaign/R020_B3_D050/g474.log
R021_B3_D500,21,3,DELAY,500,4.0,REMOVED_SCOPE_500_UNSTARTED,False,,,,
R022_B3_NC,22,3,NC,,4.0,ATTEMPTED_VALID,True,True,,raw/campaign/R022_B3_NC/g431.log,raw/campaign/R022_B3_NC/g474.log
R023_B3_D110,23,3,DELAY,110,4.0,ATTEMPTED_VALID,True,True,,raw/campaign/R023_B3_D110/g431.log,raw/campaign/R023_B3_D110/g474.log
R024_B3_D150,24,3,DELAY,150,4.0,ATTEMPTED_VALID,True,True,,raw/campaign/R024_B3_D150/g431.log,raw/campaign/R024_B3_D150/g474.log
R025_B3_D090,25,3,DELAY,90,4.0,ATTEMPTED_VALID,True,True,,raw/campaign/R025_B3_D090/g431.log,raw/campaign/R025_B3_D090/g474.log
R026_B3_D100,26,3,DELAY,100,4.0,ATTEMPTED_VALID,True,True,,raw/campaign/R026_B3_D100/g431.log,raw/campaign/R026_B3_D100/g474.log
R027_B3_NC,27,3,NC,,4.0,ATTEMPTED_VALID,True,True,,raw/campaign/R027_B3_NC/g431.log,raw/campaign/R027_B3_NC/g474.log
R028_B4_D500,28,4,DELAY,500,4.0,REMOVED_SCOPE_BLOCKS_4_5,False,,,,
R029_B4_D090,29,4,DELAY,90,4.0,REMOVED_SCOPE_BLOCKS_4_5,False,,,,
R030_B4_D110,30,4,DELAY,110,4.0,REMOVED_SCOPE_BLOCKS_4_5,False,,,,
R031_B4_NC,31,4,NC,,4.0,REMOVED_SCOPE_BLOCKS_4_5,False,,,,
R032_B4_D050,32,4,DELAY,50,4.0,REMOVED_SCOPE_BLOCKS_4_5,False,,,,
R033_B4_D250,33,4,DELAY,250,4.0,REMOVED_SCOPE_BLOCKS_4_5,False,,,,
R034_B4_D100,34,4,DELAY,100,4.0,REMOVED_SCOPE_BLOCKS_4_5,False,,,,
R035_B4_NC,35,4,NC,,4.0,REMOVED_SCOPE_BLOCKS_4_5,False,,,,
R036_B4_D150,36,4,DELAY,150,4.0,REMOVED_SCOPE_BLOCKS_4_5,False,,,,
R037_B5_D090,37,5,DELAY,90,4.0,REMOVED_SCOPE_BLOCKS_4_5,False,,,,
R038_B5_NC,38,5,NC,,4.0,REMOVED_SCOPE_BLOCKS_4_5,False,,,,
R039_B5_D150,39,5,DELAY,150,4.0,REMOVED_SCOPE_BLOCKS_4_5,False,,,,
R040_B5_D110,40,5,DELAY,110,4.0,REMOVED_SCOPE_BLOCKS_4_5,False,,,,
R041_B5_D250,41,5,DELAY,250,4.0,REMOVED_SCOPE_BLOCKS_4_5,False,,,,
R042_B5_NC,42,5,NC,,4.0,REMOVED_SCOPE_BLOCKS_4_5,False,,,,
R043_B5_D100,43,5,DELAY,100,4.0,REMOVED_SCOPE_BLOCKS_4_5,False,,,,
R044_B5_D500,44,5,DELAY,500,4.0,REMOVED_SCOPE_BLOCKS_4_5,False,,,,
R045_B5_D050,45,5,DELAY,50,4.0,REMOVED_SCOPE_BLOCKS_4_5,False,,,,
