run_id,order_index,block,condition,delay_ms,observation_s
R001_B1_D110,1,1,DELAY,110,4.0
R002_B1_D500,2,1,DELAY,500,4.0
R003_B1_D150,3,1,DELAY,150,4.0
R004_B1_NC,4,1,NC,,4.0
R005_B1_D050,5,1,DELAY,50,4.0
R006_B1_D090,6,1,DELAY,90,4.0
R007_B1_D250,7,1,DELAY,250,4.0
R008_B1_D100,8,1,DELAY,100,4.0
R009_B1_NC,9,1,NC,,4.0
R010_B2_D100,10,2,DELAY,100,4.0
R011_B2_D500,11,2,DELAY,500,4.0
R012_B2_D050,12,2,DELAY,50,4.0
R013_B2_NC,13,2,NC,,4.0
R014_B2_D090,14,2,DELAY,90,4.0
R015_B2_D150,15,2,DELAY,150,4.0
R016_B2_D110,16,2,DELAY,110,4.0
R017_B2_D250,17,2,DELAY,250,4.0
R018_B2_NC,18,2,NC,,4.0
R019_B3_D250,19,3,DELAY,250,4.0
R020_B3_D050,20,3,DELAY,50,4.0
R021_B3_D500,21,3,DELAY,500,4.0
R022_B3_NC,22,3,NC,,4.0
R023_B3_D110,23,3,DELAY,110,4.0
R024_B3_D150,24,3,DELAY,150,4.0
R025_B3_D090,25,3,DELAY,90,4.0
R026_B3_D100,26,3,DELAY,100,4.0
R027_B3_NC,27,3,NC,,4.0
R028_B4_D500,28,4,DELAY,500,4.0
R029_B4_D090,29,4,DELAY,90,4.0
R030_B4_D110,30,4,DELAY,110,4.0
R031_B4_NC,31,4,NC,,4.0
R032_B4_D050,32,4,DELAY,50,4.0
R033_B4_D250,33,4,DELAY,250,4.0
R034_B4_D100,34,4,DELAY,100,4.0
R035_B4_NC,35,4,NC,,4.0
R036_B4_D150,36,4,DELAY,150,4.0
R037_B5_D090,37,5,DELAY,90,4.0
R038_B5_NC,38,5,NC,,4.0
R039_B5_D150,39,5,DELAY,150,4.0
R040_B5_D110,40,5,DELAY,110,4.0
R041_B5_D250,41,5,DELAY,250,4.0
R042_B5_NC,42,5,NC,,4.0
R043_B5_D100,43,5,DELAY,100,4.0
R044_B5_D500,44,5,DELAY,500,4.0
R045_B5_D050,45,5,DELAY,50,4.0
