run_id,fault_id,fault_mode,seed,activation_confirmed,activation_host_time,injection_host_time,detection_observed,detection_event,detection_host_time,detection_latency_ms,offline_observed,restore_command_host_time,restore_confirmation_host_time,recovery_observed,recovery_host_time,recovery_time_ms,controller_restart_marker_observed,outcome,invalid_reason
R001_P03,P03,DELAYED,20260830,True,2026-08-29T19:10:09.626266+00:00,2026-08-29T19:10:09.592027+00:00,True,[OBC] PAYLOAD_TIMEOUT consecutive=1,2026-08-29T19:10:09.749855+00:00,156.0,True,2026-08-29T19:10:13.628294+00:00,2026-08-29T19:10:13.878806+00:00,True,2026-08-29T19:10:14.155428+00:00,531.0,False,DETECTED_RECOVERY_OBSERVED,
R002_P03,P03,DELAYED,20260830,True,2026-08-29T19:10:18.819269+00:00,2026-08-29T19:10:18.763669+00:00,True,[OBC] PAYLOAD_TIMEOUT consecutive=1,2026-08-29T19:10:19.211704+00:00,453.0,True,2026-08-29T19:10:22.822069+00:00,2026-08-29T19:10:22.879372+00:00,True,2026-08-29T19:10:23.113490+00:00,282.0,False,DETECTED_RECOVERY_OBSERVED,
R003_P03,P03,DELAYED,20260830,True,2026-08-29T19:10:28.012702+00:00,2026-08-29T19:10:27.980338+00:00,True,[OBC] PAYLOAD_TIMEOUT consecutive=1,2026-08-29T19:10:28.185286+00:00,203.0,True,2026-08-29T19:10:32.014704+00:00,2026-08-29T19:10:32.076680+00:00,True,2026-08-29T19:10:32.122451+00:00,109.0,False,DETECTED_RECOVERY_OBSERVED,
R004_P01,P01,SILENT,20260830,True,2026-08-29T19:10:37.852089+00:00,2026-08-29T19:10:37.821525+00:00,True,[OBC] PAYLOAD_TIMEOUT consecutive=1,2026-08-29T19:10:38.163641+00:00,328.0,True,2026-08-29T19:10:41.854629+00:00,2026-08-29T19:10:41.912692+00:00,True,2026-08-29T19:10:42.101511+00:00,250.0,False,DETECTED_RECOVERY_OBSERVED,
R005_P02,P02,BAD_CRC,20260830,True,2026-08-29T19:10:47.659443+00:00,2026-08-29T19:10:47.606437+00:00,True,[OBC] PAYLOAD_REJECT reason=CRC,2026-08-29T19:10:48.083087+00:00,468.0,True,2026-08-29T19:10:51.661962+00:00,2026-08-29T19:10:51.727914+00:00,True,2026-08-29T19:10:52.072529+00:00,422.0,False,DETECTED_RECOVERY_OBSERVED,
R006_P01,P01,SILENT,20260830,True,2026-08-29T19:10:57.283110+00:00,2026-08-29T19:10:57.241301+00:00,True,[OBC] PAYLOAD_TIMEOUT consecutive=1,2026-08-29T19:10:57.612633+00:00,375.0,True,2026-08-29T19:11:01.285906+00:00,2026-08-29T19:11:01.345943+00:00,True,2026-08-29T19:11:01.548616+00:00,266.0,False,DETECTED_RECOVERY_OBSERVED,
R007_P03,P03,DELAYED,20260830,True,2026-08-29T19:11:06.478482+00:00,2026-08-29T19:11:06.440040+00:00,True,[OBC] PAYLOAD_TIMEOUT consecutive=1,2026-08-29T19:11:06.619170+00:00,187.0,True,2026-08-29T19:11:10.480898+00:00,2026-08-29T19:11:10.786228+00:00,True,2026-08-29T19:11:11.019118+00:00,531.0,False,DETECTED_RECOVERY_OBSERVED,
R008_P01,P01,SILENT,20260830,True,2026-08-29T19:11:16.276362+00:00,2026-08-29T19:11:16.212361+00:00,True,[OBC] PAYLOAD_TIMEOUT consecutive=1,2026-08-29T19:11:16.573741+00:00,359.0,True,2026-08-29T19:11:20.279985+00:00,2026-08-29T19:11:20.287054+00:00,True,2026-08-29T19:11:20.504806+00:00,219.0,False,DETECTED_RECOVERY_OBSERVED,
R009_P03,P03,DELAYED,20260830,True,2026-08-29T19:11:25.780214+00:00,2026-08-29T19:11:25.718647+00:00,True,[OBC] PAYLOAD_TIMEOUT consecutive=1,2026-08-29T19:11:26.047997+00:00,328.0,True,2026-08-29T19:11:29.788740+00:00,2026-08-29T19:11:29.845941+00:00,True,2026-08-29T19:11:29.988412+00:00,188.0,False,DETECTED_RECOVERY_OBSERVED,
R010_P02,P02,BAD_CRC,20260830,True,2026-08-29T19:11:35.480178+00:00,2026-08-29T19:11:35.445174+00:00,True,[OBC] PAYLOAD_REJECT reason=CRC,2026-08-29T19:11:35.970212+00:00,516.0,True,2026-08-29T19:11:39.483601+00:00,2026-08-29T19:11:39.538066+00:00,True,2026-08-29T19:11:39.943774+00:00,453.0,False,DETECTED_RECOVERY_OBSERVED,
R011_P02,P02,BAD_CRC,20260830,True,2026-08-29T19:11:44.655100+00:00,2026-08-29T19:11:44.595258+00:00,True,[OBC] PAYLOAD_REJECT reason=CRC,2026-08-29T19:11:44.933829+00:00,344.0,True,2026-08-29T19:11:48.658000+00:00,2026-08-29T19:11:48.709156+00:00,True,2026-08-29T19:11:48.926952+00:00,266.0,False,DETECTED_RECOVERY_OBSERVED,
R012_P02,P02,BAD_CRC,20260830,True,2026-08-29T19:11:53.792496+00:00,2026-08-29T19:11:53.771417+00:00,True,[OBC] PAYLOAD_REJECT reason=CRC,2026-08-29T19:11:53.917627+00:00,156.0,True,2026-08-29T19:11:57.796578+00:00,2026-08-29T19:11:57.847064+00:00,True,2026-08-29T19:11:57.908955+00:00,109.0,False,DETECTED_RECOVERY_OBSERVED,
R013_P03,P03,DELAYED,20260830,True,2026-08-29T19:12:03.410744+00:00,2026-08-29T19:12:03.347491+00:00,True,[OBC] PAYLOAD_TIMEOUT consecutive=1,2026-08-29T19:12:03.959523+00:00,609.0,True,2026-08-29T19:12:07.415235+00:00,2026-08-29T19:12:07.605861+00:00,True,2026-08-29T19:12:07.886736+00:00,469.0,False,DETECTED_RECOVERY_OBSERVED,
R014_P02,P02,BAD_CRC,20260830,True,2026-08-29T19:12:13.058173+00:00,2026-08-29T19:12:12.998012+00:00,True,[OBC] PAYLOAD_REJECT reason=CRC,2026-08-29T19:12:13.372690+00:00,375.0,True,2026-08-29T19:12:17.061580+00:00,2026-08-29T19:12:17.120314+00:00,True,2026-08-29T19:12:17.369289+00:00,312.0,False,DETECTED_RECOVERY_OBSERVED,
R015_P01,P01,SILENT,20260830,True,2026-08-29T19:12:22.013071+00:00,2026-08-29T19:12:21.966755+00:00,True,[OBC] PAYLOAD_TIMEOUT consecutive=1,2026-08-29T19:12:22.421180+00:00,453.0,True,2026-08-29T19:12:26.016191+00:00,2026-08-29T19:12:26.034705+00:00,True,2026-08-29T19:12:26.316631+00:00,297.0,False,DETECTED_RECOVERY_OBSERVED,
