run_id,fault_id,fault_mode,order_index,pre_injection_offset_s
R001_P03,P03,DELAYED,1,0.653
R002_P03,P03,DELAYED,2,0.32
R003_P03,P03,DELAYED,3,0.537
R004_P01,P01,SILENT,4,1.176
R005_P02,P02,BAD_CRC,5,1.13
R006_P01,P01,SILENT,6,0.946
R007_P03,P03,DELAYED,7,0.532
R008_P01,P01,SILENT,8,0.866
R009_P03,P03,DELAYED,9,0.869
R010_P02,P02,BAD_CRC,10,1.028
R011_P02,P02,BAD_CRC,11,0.495
R012_P02,P02,BAD_CRC,12,0.54
R013_P03,P03,DELAYED,13,0.931
R014_P02,P02,BAD_CRC,14,0.816
R015_P01,P01,SILENT,15,0.282
R016_P03,P03,DELAYED,16,0.26
R017_P03,P03,DELAYED,17,0.399
R018_P01,P01,SILENT,18,0.442
R019_P02,P02,BAD_CRC,19,1.007
R020_P02,P02,BAD_CRC,20,0.662
R021_P03,P03,DELAYED,21,0.286
R022_P02,P02,BAD_CRC,22,0.615
R023_P03,P03,DELAYED,23,0.535
R024_P03,P03,DELAYED,24,0.276
R025_P02,P02,BAD_CRC,25,1.178
R026_P01,P01,SILENT,26,0.425
R027_P02,P02,BAD_CRC,27,0.841
R028_P01,P01,SILENT,28,0.805
R029_P03,P03,DELAYED,29,1.124
R030_P02,P02,BAD_CRC,30,0.841
R031_P01,P01,SILENT,31,0.337
R032_P01,P01,SILENT,32,0.348
R033_P01,P01,SILENT,33,0.984
R034_P02,P02,BAD_CRC,34,0.266
R035_P03,P03,DELAYED,35,0.835
R036_P02,P02,BAD_CRC,36,0.803
R037_P01,P01,SILENT,37,1.157
R038_P01,P01,SILENT,38,0.466
R039_P01,P01,SILENT,39,0.643
R040_P03,P03,DELAYED,40,0.722
R041_P02,P02,BAD_CRC,41,0.717
R042_P02,P02,BAD_CRC,42,0.786
R043_P01,P01,SILENT,43,0.655
R044_P01,P01,SILENT,44,0.602
R045_P02,P02,BAD_CRC,45,1.213
R046_P01,P01,SILENT,46,1.158
R047_P02,P02,BAD_CRC,47,1.098
R048_P01,P01,SILENT,48,0.251
R049_P03,P03,DELAYED,49,0.705
R050_P01,P01,SILENT,50,0.858
R051_P03,P03,DELAYED,51,0.654
R052_P01,P01,SILENT,52,1.097
R053_P01,P01,SILENT,53,0.726
R054_P03,P03,DELAYED,54,1.211
R055_P01,P01,SILENT,55,1.188
R056_P02,P02,BAD_CRC,56,0.716
R057_P02,P02,BAD_CRC,57,0.28
R058_P03,P03,DELAYED,58,0.884
R059_P03,P03,DELAYED,59,0.55
R060_P01,P01,SILENT,60,1.119
R061_P03,P03,DELAYED,61,0.452
R062_P03,P03,DELAYED,62,0.723
R063_P02,P02,BAD_CRC,63,0.714
R064_P02,P02,BAD_CRC,64,0.306
R065_P02,P02,BAD_CRC,65,1.204
R066_P02,P02,BAD_CRC,66,1.109
R067_P01,P01,SILENT,67,0.311
R068_P01,P01,SILENT,68,0.445
R069_P01,P01,SILENT,69,0.525
R070_P03,P03,DELAYED,70,0.527
R071_P02,P02,BAD_CRC,71,0.46
R072_P03,P03,DELAYED,72,0.625
R073_P02,P02,BAD_CRC,73,0.522
R074_P03,P03,DELAYED,74,0.946
R075_P01,P01,SILENT,75,0.843
R076_P03,P03,DELAYED,76,0.852
R077_P03,P03,DELAYED,77,0.255
R078_P03,P03,DELAYED,78,0.417
R079_P01,P01,SILENT,79,1.126
R080_P02,P02,BAD_CRC,80,0.35
R081_P03,P03,DELAYED,81,1.051
R082_P01,P01,SILENT,82,0.468
R083_P01,P01,SILENT,83,0.716
R084_P01,P01,SILENT,84,0.838
R085_P02,P02,BAD_CRC,85,0.773
R086_P02,P02,BAD_CRC,86,0.311
R087_P02,P02,BAD_CRC,87,0.664
R088_P03,P03,DELAYED,88,0.296
R089_P03,P03,DELAYED,89,0.568
R090_P02,P02,BAD_CRC,90,0.426
